id,age,gender,height,weight,body_fat,diastolic,systolic,grip_force,sit_bend_forward,sit_ups,broad_jump
9317,39,F,162.1,48.9,15.3,81.0,125,29.4,32.5,38.0,183.0
3031,25,F,163.2,54.4,26.8,85.0,119,27.7,24.8,36.0,164.0
990,23,F,159.5,65.6,33.8,92.0,130,28.1,30.1,44.0,172.0
8596,21,F,162.3,52.4,23.6,72.0,111,28.0,25.8,46.0,177.0
3885,64,M,162.8,58.5,14.6,89.0,136,31.2,19.7,45.0,203.0
4342,21,M,175.0,64.1,14.8,70.0,120,39.7,24.7,61.0,240.0
715,34,M,171.1,68.4,18.5,66.0,106,39.0,18.7,52.0,232.0
2365,38,M,168.0,75.8,26.9,80.0,120,55.4,23.0,61.0,253.0
11983,64,F,156.4,47.6,28.4,79.0,151,29.6,22.9,28.0,125.0
1940,25,M,178.2,74.0,21.3,80.0,130,48.3,16.3,52.0,230.0
10137,63,F,156.1,50.5,27.4,91.0,152,23.0,20.5,26.0,131.0
5759,37,M,171.1,72.0,24.4,88.0,143,49.7,20.6,47.0,220.0
2149,25,M,167.2,69.5,22.4,77.0,133,44.4,23.8,60.0,215.0
3748,26,M,189.3,87.0,15.4,66.0,125,54.1,18.2,51.0,250.0
8636,50,F,161.9,55.4,27.2,94.0,128,22.5,19.9,34.0,162.0
4911,27,M,172.0,60.4,13.1,84.0,144,37.6,17.3,57.0,254.0
11455,22,F,153.6,48.5,26.2,79.0,117,33.4,24.9,47.0,196.0
5081,45,F,157.4,56.4,27.4,79.0,128,28.8,19.4,36.0,158.0
6990,51,M,160.7,58.7,9.4,84.0,154,47.3,24.4,54.0,237.0
6566,26,F,159.4,54.6,18.2,72.0,115,34.2,26.4,50.0,180.0
7641,64,M,169.8,69.2,18.5,70.0,130,53.2,27.1,51.0,214.0
12794,30,M,165.0,58.72,16.8,65.0,116,42.0,14.5,53.0,229.0
11059,32,F,163.1,60.5,30.0,79.0,135,31.3,27.3,37.0,190.0
7336,60,M,169.4,68.0,15.9,81.0,137,43.3,14.1,40.0,207.0
8714,27,F,163.5,53.8,32.0,75.0,107,25.6,20.8,42.0,175.0
9775,59,M,174.5,68.9,21.8,91.0,149,42.9,19.5,35.0,203.0
10197,24,F,167.7,62.3,29.1,80.0,136,30.1,22.0,47.0,182.0
9602,51,F,165.3,58.1,22.8,87.0,135,31.2,29.8,25.0,170.0
16,45,F,159.0,63.1,30.9,93.0,144,34.1,19.0,30.0,155.0
11250,55,F,158.5,51.8,23.9,76.0,107,25.0,28.0,32.0,150.0
7851,31,M,170.0,70.6,19.7,77.0,139,47.5,16.0,48.0,220.0
7350,30,F,161.9,46.8,19.4,66.0,112,25.3,20.0,41.0,188.0
8345,41,M,172.6,68.5,17.0,77.0,132,36.7,17.0,56.0,221.0
267,62,M,174.7,71.9,23.6,74.0,130,41.2,16.6,40.0,205.0
12214,28,F,166.7,58.1,18.0,60.0,100,37.9,24.4,37.0,198.0
13318,34,F,166.1,49.6,23.5,64.0,121,25.2,19.1,31.0,155.0
4323,22,M,170.0,69.2,18.7,80.0,140,43.8,21.7,56.0,238.0
12392,28,M,177.1,83.4,16.0,81.0,134,52.7,16.3,62.0,233.0
3727,44,M,168.2,71.6,17.7,86.0,144,49.1,15.4,51.0,214.0
12636,22,F,157.9,55.6,31.1,69.0,132,25.4,20.1,54.0,175.0
4238,35,M,176.9,67.8,11.4,98.0,151,43.5,19.2,46.0,216.0
9907,57,M,157.4,48.42,19.9,83.0,133,36.2,19.0,43.0,204.0
9252,21,F,169.5,62.2,30.6,83.0,122,37.9,27.8,50.0,179.0
10353,22,M,177.0,65.28,10.2,54.0,120,43.4,20.7,55.0,243.0
13359,35,F,161.4,52.6,23.4,72.0,101,31.1,21.0,42.0,183.0
7647,29,M,168.0,73.5,19.4,86.0,145,50.2,24.4,62.0,246.0
2892,24,M,184.7,38.6,9.0,81.0,137,55.0,19.6,56.0,242.0
13179,25,M,183.4,91.1,16.0,81.0,134,59.0,25.0,56.0,275.0
5951,39,F,169.0,65.9,27.6,73.0,124,29.8,20.4,34.0,164.0
5756,44,F,165.5,56.5,18.59,78.0,131,26.8,22.7,39.0,169.0
3648,44,F,152.4,50.9,26.6,95.0,184,23.6,20.3,37.0,192.0
10522,26,F,168.5,62.8,26.38361,78.0,132,34.6,31.7,44.0,184.0
10671,50,M,163.9,57.8,15.0,76.0,143,42.3,17.0,41.0,221.0
7202,26,M,177.3,78.4,17.0,77.0,146,52.3,22.4,57.0,243.0
11467,36,M,178.6,81.4,21.0,85.0,133,52.5,18.0,47.0,219.0
9129,39,F,159.0,54.9,18.9,62.0,116,30.6,24.4,51.0,198.0
5892,26,F,172.6,75.1,37.0,80.0,126,29.8,21.5,44.0,197.0
2728,21,M,173.0,66.2,16.7,78.0,133,48.2,25.2,57.0,235.0
7912,27,M,173.7,71.3,14.2,84.0,125,48.8,15.7,51.0,261.0
3145,42,M,168.7,65.4,10.8,83.0,123,50.8,20.7,60.0,248.0
12846,21,M,171.8,66.7,17.5,71.0,110,39.6,24.8,56.0,230.0
1592,25,M,174.8,70.5,12.6,71.0,108,58.4,22.5,64.0,275.0
9595,36,M,180.0,88.7,23.1,68.0,128,55.4,15.0,55.0,230.0
7246,21,M,174.2,74.1,19.7,81.0,110,40.3,17.5,58.0,234.0
10105,31,F,168.3,53.2,23.1,88.0,127,28.7,20.7,42.0,156.0
1285,25,F,159.9,45.7,24.1,66.0,107,26.2,23.0,50.0,178.0
9892,24,M,173.3,80.7,23.6,89.0,139,49.2,19.6,60.0,237.0
4424,23,M,182.2,82.7,20.2,78.0,117,51.5,18.2,57.0,227.0
3526,60,M,173.0,76.5,24.6,92.0,158,44.2,19.6,38.0,200.0
2047,62,M,171.2,51.7,16.5,69.0,128,34.7,15.2,39.0,178.0
10482,51,F,163.9,52.82,15.7,74.0,116,32.1,20.7,30.0,164.0
10013,22,M,180.4,82.0,15.2,83.0,137,43.8,20.3,65.0,239.0
1800,26,F,167.2,58.16,20.9,87.0,126,32.6,20.5,36.0,155.0
10142,38,M,167.6,76.7,24.7,63.0,132,43.6,16.0,45.0,231.0
10897,34,M,183.7,79.8,17.6,91.0,146,55.6,18.7,49.0,255.0
5147,46,M,172.9,75.8,18.9,77.0,132,40.1,16.2,51.0,233.0
4710,23,M,175.7,74.8,15.3,66.0,122,38.9,21.1,57.0,246.0
4639,42,M,178.3,72.9,15.2,85.0,138,50.7,14.7,48.0,242.0
10918,23,F,173.2,66.7,22.2,66.0,106,31.4,34.7,47.0,180.0
9010,60,M,165.0,57.9,25.3,87.0,144,37.9,18.7,49.0,197.0
6081,48,M,169.0,63.5,24.6,99.0,150,44.0,19.1,41.0,214.0
8493,33,M,177.8,80.9,21.3,84.0,122,51.6,19.0,57.0,230.0
1275,47,F,156.1,63.4,29.5,79.0,121,28.9,21.6,44.0,171.0
4673,46,M,171.0,73.6,19.5,85.0,136,46.6,14.4,43.0,206.0
1034,36,M,170.1,68.68,22.0,73.0,115,38.3,15.3,51.0,219.0
13218,21,M,166.1,64.1,13.0,79.0,120,41.3,18.9,56.0,230.0
8976,61,F,149.6,48.54,31.6,75.0,159,24.8,25.0,20.0,133.0
9211,25,F,165.6,63.2,27.0,56.0,117,30.3,24.5,56.0,186.0
9897,46,M,173.2,76.4,15.2,72.0,139,47.9,14.0,47.0,212.0
6916,30,M,185.0,79.0,14.1,73.0,120,51.1,23.0,50.0,220.0
3806,26,M,169.4,71.2,18.4,72.0,140,42.9,15.1,52.0,237.0
8728,34,F,164.7,64.4,23.3,69.0,118,39.3,27.1,40.0,152.0
2570,31,M,162.6,73.8,24.7,68.0,103,42.4,19.1,56.0,230.0
10542,50,M,163.4,60.8,13.9,62.0,118,43.8,19.1,47.0,216.0
7646,30,M,167.0,69.9,19.6,83.0,149,45.0,17.5,64.0,235.0
9993,61,F,158.2,64.2,33.0,96.0,142,28.7,21.9,27.0,136.0
247,22,M,168.4,69.9,15.0,51.0,118,44.0,16.3,61.0,234.0
4740,28,M,181.0,65.9,11.7,90.0,118,47.9,20.0,56.0,240.0
10286,32,M,169.8,75.7,17.6,68.0,113,58.3,17.9,51.0,243.0
4514,24,M,181.0,77.9,10.4,80.0,120,52.4,18.3,67.0,258.0
9112,61,F,152.2,46.5,16.6,83.0,125,22.9,29.6,40.0,140.0
12638,55,F,146.0,39.1,22.1,68.0,115,23.1,22.6,21.0,120.0
12751,35,F,168.0,53.1,24.7,78.0,127,26.8,20.3,48.0,174.0
8080,33,F,171.0,57.9,22.5,69.0,104,29.7,23.8,39.0,155.0
2614,24,M,176.3,73.58,13.9,65.0,146,59.5,22.4,61.0,235.0
11133,35,M,166.7,71.2,21.4,87.0,136,39.9,20.7,47.0,225.0
11154,60,M,168.7,67.9,10.5,64.0,128,47.0,16.3,51.0,196.0
3939,25,M,169.9,78.2,16.9,62.0,130,57.9,23.2,61.0,242.0
1363,35,M,170.0,61.9,16.0,79.0,129,48.4,14.5,53.0,233.0
507,28,F,159.5,48.8,24.3,77.0,141,23.6,24.0,43.0,173.0
8108,29,F,161.6,47.6,20.3,73.0,125,29.9,21.2,37.0,176.0
6857,56,M,174.2,71.3,32.3,86.0,146,42.4,13.3,38.0,208.0
7983,26,M,167.6,71.6,16.7,68.0,124,48.2,23.3,51.0,230.0
3486,30,M,169.7,77.9,20.7,65.0,116,53.8,18.0,54.0,232.0
4598,60,F,161.5,50.4,28.2,70.0,122,22.1,21.2,22.0,157.0
7783,32,M,171.5,68.1,19.0,94.0,139,40.9,18.1,50.0,232.0
9552,24,M,187.9,80.8,9.5,72.0,141,56.2,24.9,58.0,230.0
10281,63,M,170.1,61.7,17.3,82.0,151,40.5,13.7,32.0,169.0
4125,27,M,174.3,66.2,8.7,97.0,154,42.1,16.3,67.0,256.0
7235,43,M,167.1,61.3,18.4,69.0,148,41.8,16.9,52.0,223.0
7143,35,M,174.3,65.9,16.4,81.0,130,40.4,18.0,50.0,180.0
1474,59,F,158.6,59.9,32.9,70.0,117,27.5,22.6,24.0,135.0
8503,32,M,173.9,68.2,17.9,91.0,152,46.2,16.9,52.0,224.0
8959,25,F,168.6,61.7,28.8,89.0,139,31.1,20.0,38.0,178.0
554,22,M,179.4,78.6,16.5,86.0,155,56.2,18.2,56.0,245.0
6699,52,F,169.7,53.4,23.6,57.0,117,24.9,28.0,34.0,147.0
13224,47,F,168.7,54.9,11.9,72.0,111,32.3,24.8,42.0,190.0
11343,25,M,173.3,83.3,18.7,76.0,118,53.7,26.3,66.0,208.0
203,31,M,178.0,84.66,18.9,75.0,129,59.2,15.1,47.0,196.0
6791,28,F,162.1,52.9,22.7,75.0,130,31.4,25.5,41.0,160.0
6308,21,F,168.8,53.5,20.0,72.0,121,30.3,24.7,38.0,185.0
4685,51,M,162.4,58.4,9.4,84.0,159,47.5,25.3,53.0,229.0
11609,52,F,162.2,57.4,24.2,60.0,111,27.0,22.2,38.0,147.0
4368,56,F,161.2,55.2,26.3,74.0,129,25.9,23.6,30.0,162.0
10466,60,M,168.9,68.0,17.3,81.0,150,42.7,13.4,31.0,191.0
12942,49,F,157.5,48.0,22.3,78.0,120,22.3,22.6,38.0,180.0
1772,26,M,171.9,65.2,12.3,71.0,121,44.9,23.0,59.0,226.0
9756,43,M,176.7,79.74,11.1,80.0,131,53.2,26.3,49.0,253.0
5359,28,M,181.0,66.8,12.5,75.0,116,42.9,14.9,57.0,239.0
4633,22,F,156.8,52.8,23.4,65.0,100,26.0,24.5,45.0,169.0
12011,26,F,158.3,59.3,28.8,71.0,128,31.8,24.4,46.0,187.0
9275,37,M,166.1,65.6,22.2,90.0,143,42.3,21.5,60.0,222.0
10644,21,F,166.4,64.1,31.1,73.0,125,36.8,24.0,46.0,166.0
8998,25,M,168.8,71.76,16.7,73.0,134,45.4,16.6,54.0,214.0
421,64,F,163.6,55.2,27.1,67.0,112,22.7,20.9,29.0,126.0
2001,29,F,158.5,53.32,23.1,78.0,138,28.4,19.2,43.0,169.0
13054,30,F,167.6,49.8,22.3,66.0,130,25.2,24.9,35.0,180.0
10995,36,M,173.0,71.7,18.8,70.0,130,45.1,19.6,57.0,228.0
10359,30,M,182.3,72.06,12.6,78.0,142,40.7,19.3,60.0,236.0
1383,35,M,175.3,73.4,19.5,74.0,136,46.4,19.0,45.0,232.0
8440,33,M,174.9,75.6,11.7,85.0,136,54.7,21.8,55.0,242.0
6513,31,M,166.6,55.5,15.5,68.0,136,37.1,17.6,58.0,232.0
1618,28,M,174.2,70.0,11.7,78.0,117,41.1,18.2,60.0,245.0
7954,26,M,177.3,81.2,26.3,88.0,144,45.4,16.3,55.0,226.0
10191,33,M,176.9,71.2,11.1,89.0,119,41.9,24.2,60.0,237.0
2059,23,F,158.0,57.0,29.0,82.0,138,29.6,24.0,46.0,188.0
5969,24,F,165.3,69.6,33.6,87.0,136,30.4,31.6,43.0,169.0
13306,38,M,173.0,71.3,15.6,91.0,136,44.5,19.4,50.0,230.0
7014,26,F,162.1,60.3,28.5,80.0,136,29.0,21.8,35.0,156.0
8891,40,F,164.6,57.1,22.4,83.0,135,36.0,24.2,48.0,198.0
6364,36,M,168.4,68.8,23.8,87.0,158,39.0,22.1,55.0,214.0
4435,21,F,158.0,45.6,28.9,70.0,120,19.7,19.7,43.0,164.0
1352,21,M,176.2,73.3,13.9,76.0,147,58.8,23.2,57.0,239.0
7062,50,F,167.2,60.1,27.8,52.0,104,28.9,24.0,33.0,144.0
4785,60,M,167.9,65.6,19.1,94.0,152,43.4,13.5,49.0,187.0
11164,26,M,175.3,66.3,14.7,85.0,137,51.1,19.2,51.0,249.0
4806,30,M,172.5,74.8,16.9,77.0,133,45.8,23.0,55.0,229.0
4135,40,F,166.0,58.5,25.8,83.0,123,31.0,22.0,33.0,156.0
411,30,M,179.5,90.8,18.3,79.0,130,56.9,21.3,51.0,230.0
2010,26,M,170.9,70.9,18.4,64.0,130,44.7,16.1,53.0,219.0
10525,30,F,158.3,51.5,24.8,59.0,113,26.7,26.0,53.0,156.0
10931,27,F,168.7,53.7,20.2,60.0,109,27.9,18.8,36.0,156.0
12578,28,F,164.5,48.9,15.7,82.0,124,30.8,23.2,42.0,186.0
7676,50,M,180.2,85.3,17.4,92.0,148,47.8,15.0,64.0,210.0
4213,25,M,163.1,64.4,11.7,85.0,155,41.1,23.7,60.0,260.0
7342,50,F,161.5,52.0,17.9,42.0,82,24.5,30.2,25.0,163.0
5903,27,F,163.2,51.84,23.0,61.0,116,27.7,22.2,43.0,172.0
10239,25,M,183.5,77.6,15.1,82.0,134,47.8,28.1,51.0,236.0
11408,57,F,153.2,50.6,21.6,77.0,123,23.2,22.4,29.0,150.0
13240,24,F,163.1,51.5,23.6,67.0,111,27.2,21.2,36.0,182.0
10408,46,M,172.8,64.9,12.0,78.0,123,51.6,20.0,49.0,234.0
1993,21,F,161.7,63.3,32.8,86.0,116,30.0,23.7,41.0,180.0
6131,62,M,167.3,57.0,19.2,76.0,123,36.7,17.4,32.0,167.0
12776,34,M,174.0,75.8,15.9,84.0,156,51.3,23.0,53.0,245.0
3357,24,F,160.0,49.6,23.8,62.0,101,25.0,19.9,50.0,176.0
9331,47,F,164.0,58.0,31.0,80.0,120,30.0,19.0,40.0,160.0
274,59,F,158.2,54.34,29.6,74.0,133,25.1,28.6,42.0,148.0
6490,38,F,161.7,49.6,22.3,65.0,110,25.2,22.1,33.0,142.0
566,35,M,181.5,98.5,22.8,80.0,122,61.4,18.0,56.0,205.0
9725,23,M,174.0,69.4,12.2,73.0,127,40.7,16.3,59.0,261.0
4664,29,F,160.8,68.6,31.0,99.0,148,39.7,20.2,58.0,179.0
5248,25,M,170.6,66.5,14.7,86.0,140,49.4,19.0,57.0,263.0
3180,23,F,162.3,49.4,26.1,66.0,121,21.4,22.4,40.0,165.0
387,38,M,171.4,71.7,17.2,90.0,150,42.5,21.3,54.0,216.0
6937,26,M,170.1,62.6,12.5,73.0,126,49.3,17.9,56.0,237.0
3303,26,F,165.4,59.1,21.9,68.0,119,28.9,18.5,42.0,151.0
1637,26,F,154.9,58.92,31.8,99.0,147,30.3,19.6,43.0,133.0
8356,61,M,177.4,77.68,17.9,90.0,153,50.2,19.0,31.0,184.0
5578,41,F,160.8,56.9,31.3,79.0,129,30.1,18.9,33.0,169.0
5795,59,M,165.3,60.8,22.1,81.0,118,36.0,14.7,36.0,200.0
7776,38,F,166.5,58.2,27.2,56.0,126,33.3,20.9,40.0,162.0
11316,62,F,159.5,54.0,26.3,71.0,129,29.4,28.1,27.0,161.0
10893,60,M,165.7,70.4,21.9,90.0,140,43.2,14.5,37.0,210.0
4579,27,M,175.8,74.8,20.0,72.0,116,56.8,17.8,55.0,230.0
7858,21,F,159.9,53.1,25.9,75.0,116,25.5,27.3,39.0,122.0
2321,35,M,186.4,75.7,18.4,100.0,142,54.2,24.0,50.0,230.0
10048,28,M,177.9,71.0,11.6,73.0,135,47.6,28.4,54.0,246.0
6219,27,M,170.0,81.1,21.6,85.0,145,48.7,17.2,52.0,226.0
9277,23,M,174.1,68.3,9.3,73.0,136,44.9,23.0,61.0,203.0
12604,28,F,174.4,69.2,20.3,53.0,123,36.9,27.8,38.0,175.0
2833,30,F,155.6,53.9,27.7,63.0,108,31.7,23.7,45.0,170.0
2806,32,M,169.8,58.7,14.8,68.0,107,37.1,22.3,60.0,216.0
6116,25,M,177.1,73.1,10.9,66.0,116,43.5,17.4,51.0,233.0
7719,30,F,158.6,54.2,26.3,82.0,116,35.6,24.8,55.0,171.0
6555,24,F,160.2,57.88,24.5,75.0,124,31.2,23.6,48.0,145.0
832,28,F,165.0,76.5,21.7,56.0,107,39.6,23.0,39.0,185.0
2527,43,F,164.4,56.6,22.2,71.0,114,30.9,22.8,43.0,162.0
5856,42,M,172.4,67.5,18.6,86.0,124,46.3,25.4,60.0,226.0
3133,32,M,170.6,68.0,16.3,92.0,159,45.8,15.0,50.0,224.0
13116,26,M,173.0,75.6,21.4,70.0,121,58.1,19.0,54.0,235.0
3714,47,F,166.7,55.7,17.1,95.0,145,25.5,24.0,35.0,180.0
7434,60,M,174.6,70.4,23.7,98.0,136,40.1,11.8,54.0,192.0
3126,36,M,180.2,76.3,19.7,81.0,142,47.6,18.6,60.0,243.0
8511,24,F,161.6,50.4,27.2,60.0,119,28.3,21.5,45.0,172.0
8972,23,F,160.5,60.1,26.7,66.0,100,30.0,26.9,58.0,158.0
1606,34,M,172.0,69.4,13.88621,92.0,144,44.9,15.4,64.0,257.0
8457,22,F,162.3,64.6,27.5,72.0,101,34.5,23.9,41.0,200.0
12581,35,M,169.1,78.12,21.5,80.0,152,37.0,17.4,52.0,229.0
7159,29,M,174.6,71.4,14.6,92.0,155,46.5,19.0,51.0,233.0
1147,28,M,172.5,63.7,6.0,65.0,115,40.3,15.6,62.0,226.0
5229,45,M,173.3,74.7,22.3,77.0,137,43.3,20.3,46.0,194.0
11108,43,M,175.7,67.3,12.1,69.0,124,41.3,17.7,44.0,217.0
3532,30,M,172.9,79.7,17.9,66.0,119,52.7,17.1,66.0,264.0
131,25,F,160.1,51.7,30.7,71.0,126,25.7,21.1,47.0,159.0
10449,35,M,171.7,72.3,25.3,91.0,151,35.8,14.8,50.0,230.0
13140,27,M,175.4,65.5,20.3,86.0,126,47.1,23.0,71.0,235.0
8618,38,F,165.9,55.6,23.7,96.0,131,29.3,21.8,52.0,170.0
6582,63,F,154.8,46.0,18.7,90.0,148,26.6,28.5,24.0,137.0
4829,34,F,162.6,52.1,20.4,72.0,115,31.3,28.2,65.0,208.0
3852,57,M,164.6,64.2,25.0,86.0,124,42.9,16.4,39.0,192.0
8362,27,F,167.0,55.6,24.1,70.0,105,28.4,26.4,43.0,173.0
5205,56,F,151.5,54.7,29.7,68.0,143,29.3,26.0,28.0,147.0
3437,29,F,161.3,51.2,24.2,67.0,112,27.1,25.0,35.0,221.0
7128,60,M,171.7,77.6,15.5,95.0,143,45.9,27.9,50.0,211.0
8699,21,F,165.0,51.1,14.9,82.0,121,30.7,27.1,55.0,202.0
10549,41,M,167.8,69.6,17.5,86.0,131,49.0,22.8,64.0,213.0
10369,45,F,167.6,57.5,27.8,74.0,140,29.8,28.4,46.0,172.0
